Time (s), AI0 (V) 
0.000000E+0,4.206445E+0
1.000000E-2,4.204800E+0
2.000000E-2,4.207431E+0
3.000000E-2,4.205458E+0
4.000000E-2,4.204800E+0
5.000000E-2,4.207102E+0
6.000000E-2,4.205458E+0
7.000000E-2,4.205458E+0
8.000000E-2,4.206445E+0
9.000000E-2,4.204142E+0
1.000000E-1,4.207102E+0
1.100000E-1,4.207102E+0
1.200000E-1,4.204142E+0
1.300000E-1,4.205787E+0
1.400000E-1,4.205787E+0
1.500000E-1,4.204471E+0
1.600000E-1,4.206774E+0
1.700000E-1,4.204471E+0
1.800000E-1,4.206445E+0
1.900000E-1,4.207760E+0
2.000000E-1,4.203485E+0
2.100000E-1,4.206445E+0
2.200000E-1,4.207102E+0
2.300000E-1,4.204800E+0
2.400000E-1,4.206445E+0
2.500000E-1,4.206445E+0
2.600000E-1,4.204142E+0
2.700000E-1,4.205129E+0
2.800000E-1,4.204142E+0
2.900000E-1,4.205458E+0
3.000000E-1,4.207431E+0
3.100000E-1,4.204800E+0
3.200000E-1,4.207102E+0
3.300000E-1,4.205458E+0
3.400000E-1,4.203485E+0
3.500000E-1,4.206774E+0
3.600000E-1,4.205787E+0
3.700000E-1,4.203485E+0
3.800000E-1,4.209076E+0
3.900000E-1,4.205129E+0
4.000000E-1,4.204800E+0
4.100000E-1,4.207102E+0
4.200000E-1,4.204142E+0
4.300000E-1,4.206116E+0
4.400000E-1,4.206774E+0
4.500000E-1,4.204800E+0
4.600000E-1,4.207102E+0
4.700000E-1,4.205787E+0
4.800000E-1,4.203814E+0
4.900000E-1,4.206774E+0
5.000000E-1,4.205787E+0
5.100000E-1,4.205787E+0
5.200000E-1,4.206774E+0
5.300000E-1,4.203814E+0
5.400000E-1,4.205787E+0
5.500000E-1,4.206774E+0
5.600000E-1,4.204800E+0
5.700000E-1,4.208418E+0
5.800000E-1,4.206445E+0
5.900000E-1,4.204800E+0
6.000000E-1,4.181778E+0
6.100000E-1,4.098240E+0
6.200000E-1,4.093636E+0
6.300000E-1,4.001875E+0
6.400000E-1,3.998587E+0
6.500000E-1,3.988391E+0
6.600000E-1,3.959120E+0
6.700000E-1,3.956160E+0
6.800000E-1,3.873280E+0
6.900000E-1,3.827235E+0
7.000000E-1,3.733502E+0
7.100000E-1,3.668711E+0
7.200000E-1,3.656871E+0
7.300000E-1,3.579582E+0
7.400000E-1,3.553271E+0
7.500000E-1,3.476311E+0
7.600000E-1,3.461511E+0
7.700000E-1,3.462826E+0
7.800000E-1,3.461182E+0
7.900000E-1,3.360871E+0
8.000000E-1,3.330284E+0
8.100000E-1,3.278320E+0
8.200000E-1,3.201031E+0
8.300000E-1,3.179653E+0
8.400000E-1,3.134924E+0
8.500000E-1,3.062898E+0
8.600000E-1,2.966862E+0
8.700000E-1,2.904373E+0
8.800000E-1,2.889573E+0
8.900000E-1,2.819849E+0
9.000000E-1,2.822151E+0
9.100000E-1,2.711316E+0
9.200000E-1,2.694871E+0
9.300000E-1,2.616596E+0
9.400000E-1,2.494907E+0
9.500000E-1,2.462019E+0
9.600000E-1,2.453467E+0
9.700000E-1,2.419263E+0
9.800000E-1,2.358419E+0
9.900000E-1,2.304810E+0
1.000000E+0,2.213708E+0
1.010000E+0,2.204170E+0
1.020000E+0,2.174242E+0
1.030000E+0,2.032162E+0
1.040000E+0,2.030847E+0
1.050000E+0,2.031175E+0
1.060000E+0,1.895674E+0
1.070000E+0,1.886465E+0
1.080000E+0,1.884820E+0
1.090000E+0,1.876269E+0
1.100000E+0,1.748990E+0
1.110000E+0,1.711168E+0
1.120000E+0,1.712483E+0
1.130000E+0,1.701630E+0
1.140000E+0,1.697354E+0
1.150000E+0,1.646048E+0
1.160000E+0,1.509560E+0
1.170000E+0,1.503969E+0
1.180000E+0,1.486209E+0
1.190000E+0,1.482262E+0
1.200000E+0,1.430956E+0
1.210000E+0,1.371756E+0
1.220000E+0,1.359587E+0
1.230000E+0,1.359916E+0
1.240000E+0,1.345774E+0
1.250000E+0,1.312885E+0
1.260000E+0,1.291836E+0
1.270000E+0,1.291836E+0
1.280000E+0,1.290521E+0
