Time (s), AI0 (V) 
0.000000E+0,4.189342E+0
1.000000E-2,4.186054E+0
2.000000E-2,4.186711E+0
3.000000E-2,4.187040E+0
4.000000E-2,4.185067E+0
5.000000E-2,4.187698E+0
6.000000E-2,4.188685E+0
7.000000E-2,4.184738E+0
8.000000E-2,4.188356E+0
9.000000E-2,4.187040E+0
1.000000E-1,4.185725E+0
1.100000E-1,4.188685E+0
1.200000E-1,4.188027E+0
1.300000E-1,4.185067E+0
1.400000E-1,4.188685E+0
1.500000E-1,4.185725E+0
1.600000E-1,4.186711E+0
1.700000E-1,4.187369E+0
1.800000E-1,4.185067E+0
1.900000E-1,4.186711E+0
2.000000E-1,4.187698E+0
2.100000E-1,4.185067E+0
2.200000E-1,4.189014E+0
2.300000E-1,4.188027E+0
2.400000E-1,4.187040E+0
2.500000E-1,4.187369E+0
2.600000E-1,4.186054E+0
2.700000E-1,4.185725E+0
2.800000E-1,4.187369E+0
2.900000E-1,4.185396E+0
3.000000E-1,4.185396E+0
3.100000E-1,4.187369E+0
3.200000E-1,4.184738E+0
3.300000E-1,4.187040E+0
3.400000E-1,4.187698E+0
3.500000E-1,4.186054E+0
3.600000E-1,4.186711E+0
3.700000E-1,4.186711E+0
3.800000E-1,4.185067E+0
3.900000E-1,4.187040E+0
4.000000E-1,4.186054E+0
4.100000E-1,4.186054E+0
4.200000E-1,4.189014E+0
4.300000E-1,4.184738E+0
4.400000E-1,4.187040E+0
4.500000E-1,4.188356E+0
4.600000E-1,4.184738E+0
4.700000E-1,4.186711E+0
4.800000E-1,4.187369E+0
4.900000E-1,4.184080E+0
5.000000E-1,4.188356E+0
5.100000E-1,4.186382E+0
5.200000E-1,4.184080E+0
5.300000E-1,4.188685E+0
5.400000E-1,4.186382E+0
5.500000E-1,4.185725E+0
5.600000E-1,4.188685E+0
5.700000E-1,4.186054E+0
5.800000E-1,4.186711E+0
5.900000E-1,4.187698E+0
6.000000E-1,4.185396E+0
6.100000E-1,4.187040E+0
6.200000E-1,4.187698E+0
6.300000E-1,4.184409E+0
6.400000E-1,4.188356E+0
6.500000E-1,4.186054E+0
6.600000E-1,4.184080E+0
6.700000E-1,4.186382E+0
6.800000E-1,4.187040E+0
6.900000E-1,4.187040E+0
7.000000E-1,4.188685E+0
7.100000E-1,4.184409E+0
7.200000E-1,4.185725E+0
7.300000E-1,4.188027E+0
7.400000E-1,4.185396E+0
7.500000E-1,4.187698E+0
7.600000E-1,4.186711E+0
7.700000E-1,4.186382E+0
7.800000E-1,4.187040E+0
7.900000E-1,4.183422E+0
8.000000E-1,4.118302E+0
8.100000E-1,4.099227E+0
8.200000E-1,4.086729E+0
8.300000E-1,3.998258E+0
8.400000E-1,4.001875E+0
8.500000E-1,3.988720E+0
8.600000E-1,3.957804E+0
8.700000E-1,3.960106E+0
8.800000E-1,3.950240E+0
8.900000E-1,3.910773E+0
9.000000E-1,3.848942E+0
9.100000E-1,3.807502E+0
9.200000E-1,3.729226E+0
9.300000E-1,3.684168E+0
9.400000E-1,3.663448E+0
9.500000E-1,3.657200E+0
9.600000E-1,3.580897E+0
9.700000E-1,3.568400E+0
9.800000E-1,3.544062E+0
9.900000E-1,3.475653E+0
1.000000E+0,3.476968E+0
1.010000E+0,3.464471E+0
1.020000E+0,3.459537E+0
1.030000E+0,3.463155E+0
1.040000E+0,3.462497E+0
1.050000E+0,3.405928E+0
1.060000E+0,3.332586E+0
1.070000E+0,3.323377E+0
1.080000E+0,3.279306E+0
1.090000E+0,3.202017E+0
1.100000E+0,3.197742E+0
1.110000E+0,3.180640E+0
1.120000E+0,3.157617E+0
1.130000E+0,3.068489E+0
1.140000E+0,3.062569E+0
1.150000E+0,3.024746E+0
1.160000E+0,2.954693E+0
1.170000E+0,2.904702E+0
1.180000E+0,2.904702E+0
1.190000E+0,2.902071E+0
1.200000E+0,2.880364E+0
1.210000E+0,2.823467E+0
1.220000E+0,2.820178E+0
1.230000E+0,2.823467E+0
1.240000E+0,2.783013E+0
1.250000E+0,2.710329E+0
1.260000E+0,2.697503E+0
1.270000E+0,2.695858E+0
1.280000E+0,2.697831E+0
1.290000E+0,2.698160E+0
1.300000E+0,2.696516E+0
1.310000E+0,2.698489E+0
1.320000E+0,2.697831E+0
1.330000E+0,2.695200E+0
1.340000E+0,2.699476E+0
1.350000E+0,2.697831E+0
1.360000E+0,2.696516E+0
1.370000E+0,2.699147E+0
1.380000E+0,2.695529E+0
1.390000E+0,2.698160E+0
1.400000E+0,2.699147E+0
1.410000E+0,2.694871E+0
1.420000E+0,2.697503E+0
1.430000E+0,2.699147E+0
1.440000E+0,2.696516E+0
1.450000E+0,2.699147E+0
1.460000E+0,2.696516E+0
1.470000E+0,2.695529E+0
1.480000E+0,2.698160E+0
1.490000E+0,2.695858E+0
1.500000E+0,2.698489E+0
1.510000E+0,2.700134E+0
1.520000E+0,2.695858E+0
1.530000E+0,2.697503E+0
1.540000E+0,2.698160E+0
1.550000E+0,2.695858E+0
1.560000E+0,2.697831E+0
1.570000E+0,2.699147E+0
1.580000E+0,2.696187E+0
1.590000E+0,2.700463E+0
1.600000E+0,2.696516E+0
1.610000E+0,2.696516E+0
1.620000E+0,2.699476E+0
1.630000E+0,2.696187E+0
1.640000E+0,2.697831E+0
1.650000E+0,2.697174E+0
1.660000E+0,2.696187E+0
1.670000E+0,2.698160E+0
1.680000E+0,2.698489E+0
1.690000E+0,2.695858E+0
1.700000E+0,2.700791E+0
1.710000E+0,2.697831E+0
1.720000E+0,2.695529E+0
1.730000E+0,2.700134E+0
1.740000E+0,2.697174E+0
