Time (s), AI0 (V) 
0.000000E+0,4.186711E+0
1.000000E-2,4.189014E+0
2.000000E-2,4.185067E+0
3.000000E-2,4.188027E+0
4.000000E-2,4.188356E+0
5.000000E-2,4.185396E+0
6.000000E-2,4.188356E+0
7.000000E-2,4.186382E+0
8.000000E-2,4.185067E+0
9.000000E-2,4.188356E+0
1.000000E-1,4.187369E+0
1.100000E-1,4.187369E+0
1.200000E-1,4.188356E+0
1.300000E-1,4.185725E+0
1.400000E-1,4.187698E+0
1.500000E-1,4.187698E+0
1.600000E-1,4.186054E+0
1.700000E-1,4.189342E+0
1.800000E-1,4.186382E+0
1.900000E-1,4.188027E+0
2.000000E-1,4.189671E+0
2.100000E-1,4.186382E+0
2.200000E-1,4.187369E+0
2.300000E-1,4.187698E+0
2.400000E-1,4.186054E+0
2.500000E-1,4.187040E+0
2.600000E-1,4.188685E+0
2.700000E-1,4.185396E+0
2.800000E-1,4.190658E+0
2.900000E-1,4.186382E+0
3.000000E-1,4.185725E+0
3.100000E-1,4.189014E+0
3.200000E-1,4.185725E+0
3.300000E-1,4.186711E+0
3.400000E-1,4.188027E+0
3.500000E-1,4.186382E+0
3.600000E-1,4.188685E+0
3.700000E-1,4.187369E+0
3.800000E-1,4.186711E+0
3.900000E-1,4.187040E+0
4.000000E-1,4.187040E+0
4.100000E-1,4.185396E+0
4.200000E-1,4.187040E+0
4.300000E-1,4.186711E+0
4.400000E-1,4.184738E+0
4.500000E-1,4.188356E+0
4.600000E-1,4.185067E+0
4.700000E-1,4.187698E+0
4.800000E-1,4.185725E+0
4.900000E-1,4.185396E+0
5.000000E-1,4.188685E+0
5.100000E-1,4.187698E+0
5.200000E-1,4.186054E+0
5.300000E-1,4.189671E+0
5.400000E-1,4.185725E+0
5.500000E-1,4.187040E+0
5.600000E-1,4.188356E+0
5.700000E-1,4.185067E+0
5.800000E-1,4.187040E+0
5.900000E-1,4.189342E+0
6.000000E-1,4.186054E+0
6.100000E-1,4.187040E+0
6.200000E-1,4.185725E+0
6.300000E-1,4.187040E+0
6.400000E-1,4.189342E+0
6.500000E-1,4.184080E+0
6.600000E-1,4.156782E+0
6.700000E-1,4.117973E+0
6.800000E-1,4.095609E+0
6.900000E-1,4.097911E+0
7.000000E-1,4.094293E+0
7.100000E-1,4.080151E+0
7.200000E-1,4.000889E+0
7.300000E-1,3.999573E+0
7.400000E-1,3.998587E+0
7.500000E-1,3.991351E+0
7.600000E-1,3.988391E+0
7.700000E-1,3.957146E+0
7.800000E-1,3.959449E+0
7.900000E-1,3.956489E+0
8.000000E-1,3.925244E+0
8.100000E-1,3.850915E+0
8.200000E-1,3.816053E+0
8.300000E-1,3.737777E+0
8.400000E-1,3.684826E+0
8.500000E-1,3.662462E+0
8.600000E-1,3.632204E+0
8.700000E-1,3.580240E+0
8.800000E-1,3.498675E+0
8.900000E-1,3.476968E+0
9.000000E-1,3.460524E+0
9.100000E-1,3.461840E+0
9.200000E-1,3.413822E+0
9.300000E-1,3.329955E+0
9.400000E-1,3.282924E+0
9.500000E-1,3.201360E+0
9.600000E-1,3.178666E+0
9.700000E-1,3.139529E+0
9.800000E-1,3.061582E+0
9.900000E-1,3.005013E+0
1.000000E+0,2.906018E+0
1.010000E+0,2.903715E+0
1.020000E+0,2.858329E+0
1.030000E+0,2.823467E+0
1.040000E+0,2.780053E+0
1.050000E+0,2.697503E+0
1.060000E+0,2.676125E+0
1.070000E+0,2.590285E+0
1.080000E+0,2.472872E+0
1.090000E+0,2.461032E+0
1.100000E+0,2.447219E+0
1.110000E+0,2.422881E+0
1.120000E+0,2.359734E+0
1.130000E+0,2.359077E+0
1.140000E+0,2.269948E+0
1.150000E+0,2.210748E+0
1.160000E+0,2.207459E+0
1.170000E+0,2.121291E+0
1.180000E+0,2.032162E+0
1.190000E+0,2.030518E+0
1.200000E+0,2.029202E+0
1.210000E+0,1.975922E+0
1.220000E+0,1.894358E+0
1.230000E+0,1.883505E+0
1.240000E+0,1.885478E+0
1.250000E+0,1.849300E+0
1.260000E+0,1.743070E+0
1.270000E+0,1.726954E+0
1.280000E+0,1.711168E+0
1.290000E+0,1.707550E+0
1.300000E+0,1.700972E+0
1.310000E+0,1.699657E+0
1.320000E+0,1.674990E+0
1.330000E+0,1.609213E+0
1.340000E+0,1.505942E+0
1.350000E+0,1.507257E+0
1.360000E+0,1.508244E+0
1.370000E+0,1.503969E+0
1.380000E+0,1.508244E+0
1.390000E+0,1.506600E+0
1.400000E+0,1.503640E+0
1.410000E+0,1.508573E+0
1.420000E+0,1.505284E+0
1.430000E+0,1.504955E+0
1.440000E+0,1.507257E+0
1.450000E+0,1.504955E+0
1.460000E+0,1.505284E+0
1.470000E+0,1.507915E+0
1.480000E+0,1.503969E+0
1.490000E+0,1.506600E+0
1.500000E+0,1.507915E+0
1.510000E+0,1.504955E+0
