Time (s), AI0 (V) 
0.000000E+0,4.182107E+0
1.000000E-2,4.183094E+0
2.000000E-2,4.182765E+0
3.000000E-2,4.181449E+0
4.000000E-2,4.184080E+0
5.000000E-2,4.180134E+0
6.000000E-2,4.182765E+0
7.000000E-2,4.182436E+0
8.000000E-2,4.180791E+0
9.000000E-2,4.184409E+0
1.000000E-1,4.181120E+0
1.100000E-1,4.181778E+0
1.200000E-1,4.182765E+0
1.300000E-1,4.181449E+0
1.400000E-1,4.182436E+0
1.500000E-1,4.183751E+0
1.600000E-1,4.180791E+0
1.700000E-1,4.182765E+0
1.800000E-1,4.182765E+0
1.900000E-1,4.181449E+0
2.000000E-1,4.183422E+0
2.100000E-1,4.181778E+0
2.200000E-1,4.181120E+0
2.300000E-1,4.183422E+0
2.400000E-1,4.181449E+0
2.500000E-1,4.182107E+0
2.600000E-1,4.184080E+0
2.700000E-1,4.180791E+0
2.800000E-1,4.183751E+0
2.900000E-1,4.182765E+0
3.000000E-1,4.180791E+0
3.100000E-1,4.182107E+0
3.200000E-1,4.183751E+0
3.300000E-1,4.181120E+0
3.400000E-1,4.185067E+0
3.500000E-1,4.182107E+0
3.600000E-1,4.179147E+0
3.700000E-1,4.183094E+0
3.800000E-1,4.180134E+0
3.900000E-1,4.182107E+0
4.000000E-1,4.182436E+0
4.100000E-1,4.178818E+0
4.200000E-1,4.183094E+0
4.300000E-1,4.182765E+0
4.400000E-1,4.179476E+0
4.500000E-1,4.184080E+0
4.600000E-1,4.181778E+0
4.700000E-1,4.181778E+0
4.800000E-1,4.183422E+0
4.900000E-1,4.181449E+0
5.000000E-1,4.180791E+0
5.100000E-1,4.182436E+0
5.200000E-1,4.180134E+0
5.300000E-1,4.183094E+0
5.400000E-1,4.182765E+0
5.500000E-1,4.180134E+0
5.600000E-1,4.118960E+0
5.700000E-1,4.098240E+0
5.800000E-1,4.073573E+0
5.900000E-1,4.001547E+0
6.000000E-1,3.989378E+0
6.100000E-1,3.989049E+0
6.200000E-1,3.959449E+0
6.300000E-1,3.956489E+0
6.400000E-1,3.912089E+0
6.500000E-1,3.850257E+0
6.600000E-1,3.744026E+0
6.700000E-1,3.684826E+0
6.800000E-1,3.658515E+0
6.900000E-1,3.579911E+0
7.000000E-1,3.549653E+0
7.100000E-1,3.475324E+0
7.200000E-1,3.460853E+0
